job_title,job_category,client_name,fee,description
【定番】【30代向け！】Go・新規自社サービスのサーバーサイド開発,ランディングページ（LP）制作,PROsheet,"600,000円 ~1,200,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Webデザイナー】自社サービスのUI・UXデザイン改修/コーポレートサイトデザイン改修/営業ツールのデザイン改修,ランディングページ（LP）制作,PROsheet,"17,500円 ~/ 日 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】不動産情報B2Cサイト　改修案件開発要員募集（設計者）,ランディングページ（LP）制作,PROsheet,"30,000円 ~/ 日 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【TypeScript】自社LegalTechサービスのフロントエンド開発業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~/ 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Vue.js】自社印刷事業のフロントエンド開発,ランディングページ（LP）制作,PROsheet,"600,000円 ~730,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【3Dモデラー】自社アプリ、アバター機能のモーション作成業務,ランディングページ（LP）制作,PROsheet,"25,000円 ~/ 日 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【PHP】シェアリングエコノミー事業におけるサーバーサイド開発業務,ランディングページ（LP）制作,PROsheet,"700,000円 ~900,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Java】スコアリングシステムとバックエンド開発支援,ランディングページ（LP）制作,PROsheet,"400,000円 ~600,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【React】自社SaaSプロダクト開発のフロントエンドエンジニア,ランディングページ（LP）制作,PROsheet,"700,000円 ~800,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【急募】【急募！】Javaでの自社EC開発,ランディングページ（LP）制作,PROsheet,"300,000円 ~1,000,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Vue.js】【Nuxt.js】ブロックチェーンを活用したデジタルアイテムのマーケットプレイスを開発するフロントエンドエンジニア案件,ランディングページ（LP）制作,PROsheet,"600,000円 ~/ 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【マーケター】最先端AIを活用した音声合成ソフトウェアにおけるWEBマーケティング業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~700,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Django】保険関連サービスのWEBアプリケーション開発業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~880,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【即日採用！】Go・AIによる動画制作サービスの開発業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~/ 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【Ruby】広告系自社サービス開発エンジニア,ランディングページ（LP）制作,PROsheet,"600,000円 ~800,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【ディレクター】オンライン臨床治験におけるデジタルツール作成のディレクション,ランディングページ（LP）制作,PROsheet,"580,000円 ~900,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Java/Springboot】旅行（観光地・ホテル・グルメ）関連サービスのサーバーサイド業務,ランディングページ（LP）制作,PROsheet,"700,000円 ~/ 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【PHP】美容サロン向けオンライン予約システム開発のPHPエンジニア,ランディングページ（LP）制作,PROsheet,"600,000円 ~750,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【PM】Webコンサル会社でのPM募集,ランディングページ（LP）制作,PROsheet,"40,000円 ~/ 日 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【PMO】BIツール(Incorta)による支援業務,ランディングページ（LP）制作,PROsheet,"480,000円 ~800,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【マークアップ】Webサイト新規構築におけるフロントエンドエンジニア,ランディングページ（LP）制作,PROsheet,"400,000円 ~500,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【急募！】PHP・飲食業界のデジタル化を支援するサーバーサイドエンジニア,ランディングページ（LP）制作,PROsheet,"600,000円 ~1,000,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Ruby】社内人事給与会計関連システム開発,ランディングページ（LP）制作,PROsheet,"600,000円 ~980,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【UI/UX】自社美容業界求人作成ページシステムのデザイン業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~900,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【PHP】システム保守要員,ランディングページ（LP）制作,PROsheet,"600,000円 ~/ 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【TypeScript】CMS・CRMサービスのフロントエンド開発,ランディングページ（LP）制作,PROsheet,"500,000円 ~/ 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
"【注目】【PHP,フルリモ】ペット関連サービスにおける新規開発および保守運用業務",ランディングページ（LP）制作,PROsheet,"15,000円 ~30,000円 / 日 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
限定公開の仕事,携帯アプリ・モバイル開発,,"300,000円~500,000円 / 固定",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【データ】 受託大手メーカースマホアプリ開発におけるユーザーデータ分析業務,携帯アプリ・モバイル開発,PROsheet,"750,000円 ~900,000円 / 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【Ruby】契約書レビュープラットフォームにおけるサーバーサイド開発業務,携帯アプリ・モバイル開発,PROsheet,"700,000円 ~900,000円 / 月 週4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【PHP】受託開発企業内でのシェアリングサービス開発！,携帯アプリ・モバイル開発,PROsheet,"700,000円 ~/ 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【Go】国内最大級の金融メディアにおけるサーバーサイド開発業務,携帯アプリ・モバイル開発,PROsheet,"30,000円 ~39,000円 / 日 週4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【PHP】システム保守要員,携帯アプリ・モバイル開発,PROsheet,"400,000円 ~600,000円 / 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【インフラ】社内のセキュリティエンジニアリング業務,携帯アプリ・モバイル開発,PROsheet,"700,000円 ~1,000,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【Swift・Kotlin】モビリティプラットフォームのiOS/Androidアプリエンジニアの募集,携帯アプリ・モバイル開発,PROsheet,"700,000円 ~/ 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【AWS】リユース業界の最先端企業におけるインフラ開発業務,携帯アプリ・モバイル開発,PROsheet,"800,000円 ~1,000,000円 / 月 週1日･2日･3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【Java】AIスタートアップ会社でのデータ移行システム開発,携帯アプリ・モバイル開発,PROsheet,"500,000円 ~600,000円 / 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【React】BtoB向けWEBアプリケーションのフロントエンド開発・運用,携帯アプリ・モバイル開発,PROsheet,"30,000円 ~/ 日 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【サーバーサイド】LIVE配信で企業PRを行う求人アプリのサーバーサイド開発業務,携帯アプリ・モバイル開発,PROsheet,"300,000円 ~400,000円 / 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【即日採用！】Java/オンラインカウンセリングサービスの機能改善や新規プラットフォーム開発,携帯アプリ・モバイル開発,PROsheet,"580,000円 ~880,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【Python】福祉領域にて介護ケアプラン作成支援のAIエンジン開発業務,携帯アプリ・モバイル開発,PROsheet,"30,000円 ~39,000円 / 日 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【C#】オフショア開発のリードエンジニア業務,携帯アプリ・モバイル開発,PROsheet,"600,000円 ~/ 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【JavaScript・Ruby】インテリアコーディネートに関する自社サービス開発,携帯アプリ・モバイル開発,PROsheet,"25,000円 ~30,000円 / 日 週2日･3日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【AndroidJava】【Kotlin】【C#】公共交通機関アプリの受託開発,携帯アプリ・モバイル開発,PROsheet,"30,000円 ~/ 日 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【ブリッジSE】受託開発案件,携帯アプリ・モバイル開発,PROsheet,"680,000円 ~1,280,000円 / 月 週4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【Ruby】【東証一部上場企業】ライフメディアプラットフォーム企業でのRubyエンジニア,携帯アプリ・モバイル開発,PROsheet,"600,000円 ~800,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【C＃】自社開発のOMR（光学式マーク読取専用装置）やOCR（光学式文字読取装置）製品の追加機能開発・改修案件,携帯アプリ・モバイル開発,PROsheet,"600,000円 ~700,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【HTML・CSS・JavaScript】不動産Techメディアのフロントエンドエンジニア,携帯アプリ・モバイル開発,PROsheet,"500,000円 ~550,000円 / 月 週4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【Azure】自社へのSAP導入に向けたクラウドエンジニア【フルリモ】,携帯アプリ・モバイル開発,PROsheet,"600,000円 ~1,000,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【PM】仮想通貨アプリのプロダクトマネージャー業務,携帯アプリ・モバイル開発,PROsheet,"900,000円 ~1,100,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【JavaScript】決済・金融サービスに付随するWebアプリケーションのフロントエンド開発,携帯アプリ・モバイル開発,PROsheet,"700,000円 ~/ 月 週4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【急募】【Unity】インテリア・コーディネートのための3Dシミュレーター開発,携帯アプリ・モバイル開発,PROsheet,"640,000円 ~740,000円 / 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【Python/Java】テストエンジニア,携帯アプリ・モバイル開発,PROsheet,"800,000円 ~/ 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【PM】物流倉庫向け業務可視化システムのプロジェクトマネージャー業務,携帯アプリ・モバイル開発,PROsheet,"880,000円 ~1,040,000円 / 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【定番】【即日採用！】Node.js・AIによる動画制作サービスの開発業務,携帯アプリ・モバイル開発,PROsheet,"600,000円 ~/ 月 週3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【Go】クラウド人材管理ツールのAPI開発および保守運用業務,携帯アプリ・モバイル開発,PROsheet,"700,000円 ~/ 月 週4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【注目】【PM】自社アプリのエンジニア向け仕様書を英語で作成,携帯アプリ・モバイル開発,PROsheet,"800,000円 ~1,200,000円 / 月 週5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
【PHP】国際物流デジタルプラットフォームの開発業務,携帯アプリ・モバイル開発,PROsheet,"400,000円 ~600,000円 / 月 週1日･2日･3日･4日･5日",(非公開オプションが設定されています。内容は詳細画面で確認できます)
美容商材単品通販のLP制作,ランディングページ（LP）制作,umeumeumeume,"50,000円~100,000円 / 固定",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【UIデザイナー】ヘルステックベンチャーでのUIデザイン業務　《東証1部上場》,ランディングページ（LP）制作,PROsheet,"500,000円 ~600,000円 / 月 週3日･4日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Go】Fintech系スタートアップでのサーバサイド開発,ランディングページ（LP）制作,PROsheet,"32,500円 ~40,000円 / 日 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
"【注目】【Ruby,PHP】HR系インターネットメディアにおけるサーバーサイドエンジニア（東証一部上場企業）",ランディングページ（LP）制作,PROsheet,"700,000円 ~800,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Ruby】営業支援プラットフォームのRubyエンジニア募集！,ランディングページ（LP）制作,PROsheet,"35,000円 ~/ 日 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Java】ECサイト開発のプロジェクトリーダー業務,ランディングページ（LP）制作,PROsheet,"580,000円 ~730,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Vue/Python】自社プロダクトにおける開発業務,ランディングページ（LP）制作,PROsheet,"40,000円 ~50,000円 / 日 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【Python / AWS】日本最大級ネイル情報サービスのWEB開発とAWS運用業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~800,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Vue.js/React】ネットショップ作成サービスにおけるフロントエンド開発業務,ランディングページ（LP）制作,PROsheet,"800,000円 ~1,000,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【コーダー】ECサイト制作におけるマークアップエンジニア業務,ランディングページ（LP）制作,PROsheet,"280,000円 ~300,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【PM】Webシステム・アプリの受託開発案件におけるPM業務,ランディングページ（LP）制作,PROsheet,"30,000円 ~35,000円 / 日 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】[Go]バックエンドエンジニア　広告代理店向けDMP,ランディングページ（LP）制作,PROsheet,"30,000円 ~45,000円 / 日 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
"【定番】【Python】 AWS, GCP, Azure経験者様向け/AI・自社サービス開発",ランディングページ（LP）制作,PROsheet,"400,000円 ~500,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【即日採用！】Python・AIによる動画制作サービスの開発業務,ランディングページ（LP）制作,PROsheet,"600,000円 ~/ 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【即日採用！】PHPでBtoB、BtoC向け動画配信アプリの開発業務,ランディングページ（LP）制作,PROsheet,"500,000円 ~800,000円 / 月 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【UI/UX】自社開発の人材紹介業向けクラウドシステムのUI・UXデザイン業務,ランディングページ（LP）制作,PROsheet,"500,000円 ~600,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【定番】【Ruby】自社プロダクトの長期見据えたリファクタリングプロジェクト,ランディングページ（LP）制作,PROsheet,"600,000円 ~880,000円 / 月 週5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【40代向け！】Java・クライアントの本質課題を解決する、Webシステムの開発業務,ランディングページ（LP）制作,PROsheet,"500,000円 ~1,000,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【JavaScript; PHP】スマートフォンアプリ情報サービス開発におけるサーバーサイドエンジニア,ランディングページ（LP）制作,PROsheet,"600,000円 ~700,000円 / 月 週3日･4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
【注目】【Go】自社プロダクトのデータ分析基盤（API / 解析基盤）の開発・運用,ランディングページ（LP）制作,PROsheet,"25,000円 ~40,000円 / 日 週4日･5日",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
