job_title,job_category,client_name,fee,description
【仮想通貨】イーサリアムレイヤー2を使用したコインの開発,Webシステム開発・プログラミング,cripton,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景イーサリアムのレイヤー2を使用したコインの開発！ウォレットやアプリなど、継続的に依頼をしたいと考えています！■ サイトの種類その他■ 作業範囲ランサーに相談して決めたい■ 用意してあるもの設定なし■ 参考URLなし■ 希望開発言語■ フレームワーク■ 開発の継続性ランサーに相談して決めたい■ 補足説明...
限定公開の仕事,Webシステム開発・プログラミング,cripton,"200,000円~300,000円 / 固定",(非公開オプションが設定されています。内容は詳細画面で確認できます)
電力買取のAndroidアプリ開発,Androidアプリ開発,ランサーズ戦士,"300,000円~500,000円 / 固定","■ 依頼の目的・背景【 概要 】今回、電力買取のAndroidアプリ開発をお願いします。【 依頼内容 】・開発内容：WEB側すでに作成済みなので、APIからのデータのやり取りと、ネイティブの作り込みになります。・依頼工程：ネイティブアプリ開発・欲しい機能：WEB版の機能に準ずる機能 など・使用言語：Android-Java, Flutter 決まってい..."
転売コミュニティの専用アプリの作成依頼,iPhoneアプリ・iPadアプリ開発,株式会社KEY TUNES,"3,000,000円~5,000,000円 / 固定",■ 依頼の目的・背景現在BANDというアプリ内で転売コミュニティを運営していますが、人数の制限など使いづらい部分があるため専用アプリの作成をお願いしたいです。必要な機能BANDというアプリをご参考いただければと思いますが、主な機能として①参加者全員が見ることができるフィードを投稿する機能②ユーザーが個人同士でコミュニケーションをとることができるトークの機能③人...
某運輸業様システム開発,Webシステム開発・プログラミング,Ryokatsu1119,"300,000円~500,000円 / 固定",■ 依頼の目的・背景元請けにて体制を組んでいる現場の増員業務系のC言語経験者を募集■ サイトの種類その他■ 作業範囲・設計■ 用意してあるもの設定なし■ 参考URLなし■ 希望開発言語C言語■ フレームワーク■ 開発の継続性この開発の後も、継続的に依頼したいと思っております。■ 補足説明なし
ミラーリング(画面共有)Androidアプリ開発,Androidアプリ開発,nito619,"1,000,000円~3,000,000円 / 固定",■ 依頼の目的・背景2台のAndroidスマホを一方のスマホの画面をもう一方のスマホに画面をリアルタイムで画面共有(ミラーリング)させるAndroidアプリ開発をお願いしたいです。1つのアプリで配信(キャスト)側と表示(レシーバー)側で使えるアプリを想定しています。同じWi-Fi環境下で、QRコードをスキャンし接続して配信を開始できるものを希望します。■ 開発の進捗状況ラ...
楽天商品ページの在庫を監視しするシステム,Webシステム開発・プログラミング,MasterDev,"100,000円~200,000円 / 固定",■ 依頼の目的・背景楽天商品ページの在庫を監視しするツール開発のお仕事となります。【概要】楽天での商品URL(https://item.rakuten.co.jp/cicib/mskkf20-1/)を同時に数百個程度のURLを平行して監視できるものを希望しています。システムとしてはAWSのサーバーに置くことを想定しています。「構築はこちらが行う」相談し...
スニーカーの入荷、再入荷をpush通知でお知らせするアプリの作成依頼,iPhoneアプリ・iPadアプリ開発,株式会社KEY TUNES,"1,000,000円~3,000,000円 / 固定",■ 依頼の目的・背景依頼転売コミュニティのユーザー用ツールとして、NIKEのスニーカーの在庫情報をpush通知にてお知らせするアプリの作成をお願いしたいです。機能ecサイト(NIKE SNKRS)の在庫情報を監視し、新商品の入荷や商品の再入荷をpush通知でお知らせする機能。こちらがメインの機能となりますが、通知を送信する対象の商品を絞り込める機能もお付けしていた...
アマゾンのライバルチェックツールの作成の仕事,Windowsアプリケーション開発,netlogic,"200,000円~300,000円 / 固定",国内アマゾンのセラーIDから出品情報抽出するツールの作成お願いしたいです。WindowsアプリケーションでセラーIDを入力してボタンを押すとその時点のセラーの全ての・販売商品名・ASINコード・価格・数量・商品ランキングを一覧で出てくる事が希望です。また、毎日0時に自動でデータを保存して前日のデータとの数量差分(何が売れたのかチェックしたい...
自動車関連システム開発支援,Webシステム開発・プログラミング,Ryokatsu1119,"300,000円~500,000円 / 固定","■ 依頼の目的・背景基本設計：処理記述書,画面/帳票説明書,画面プロトタイプ等の作成。詳細設計：詳細処理記述処理,クラス設計,SQL定義書等の作成。開発：詳細設計書をベースにJavaの開発,単体,統合テスト。■ サイトの種類その他■ 作業範囲・設計・テスト■ 用意してあるもの設定なし■ 参考URLなし■ 希望開発言語Java■ フレー..."
